office,phone,email,last_name,first_name,party,district
Room 1097 House Office Building,5173731796,bradpaquette@house.mi.gov,Paquette,Brad,Republican,78
NHOB 6-694,5173730847,jeffpepper@house.mi.gov,Pepper,Jeffrey,Democrat,15
Room 988 House Office Building,5173731771,ronniepeterson@house.mi.gov,Peterson,Ronnie,Democrat,54
Room 698 House Office Building,5173733920,lauriepohutsky@house.mi.gov,Pohutsky,Laurie,Democrat,19
Room 1092 House Office Building,5173730218,BryanPosthumus@house.mi.gov,Posthumus,Bryan,Republican,73
Room 785 House Office Building,5173732575,ranjeevpuri@house.mi.gov,Puri,Ranjeev,Democrat,21
Room 141 Capitol Building,5173732577,yousefrabhi@house.mi.gov,Rabhi,Yousef,Democrat,53
Room 895 House Office Building,5173731798,johnreilly@house.mi.gov,Reilly,John,Republican,46
Room 1387 House Office Building,5173733817,dairerendon@house.mi.gov,Rendon,Daire,Republican,103
Room 994 House Office Building,5173731785,JulieRogers@house.mi.gov,Rogers,Julie,Democrat,60
Room 1388 House Office Building,5173731766,JohnRoth@house.mi.gov,Roth,John,Republican,104
Room 1196 House Office Building,5173732646,terrysabo@house.mi.gov,Sabo,Terry,Democrat,92
Room 686 House Office Building,5173732276,helenascott@house.mi.gov,Scott,Helena,Democrat,7
Room 789 House Office Building,5173732275,nateshannon@house.mi.gov,Shannon,Nate,Democrat,25
Room 1194 House Office Building,5173730830,BradleySlagh@house.mi.gov,Slagh,Bradley,Republican,90
Room 899 House Office Building,5173733906,timsneller@house.mi.gov,Sneller,Tim,Democrat,50
Room 795 House Office Building,5173730159,williamsowerby@house.mi.gov,Sowerby,William,Democrat,31
Room 886 House Office Building,5173731793,samanthasteckloff@house.mi.gov,Steckloff,Samantha,Democrat,37
Room 786 House Office Building,5173730854,richardsteenland@house.mi.gov,Steenland,Richard,Democrat,22
Room 792 House Office Building,5173731772,LoriStone@house.mi.gov,Stone,Lori,Democrat,28
Room 586 House Office Building,5173731776,JoeTate@house.mi.gov,Tate,Joe,Democrat,2
Room 587 House Office Building,5173730144,ShriThanedar@house.mi.gov,Thanedar,Shri,Democrat,3
Room 894 House Office Building,5173731773,marktisdel@house.mi.gov,Tisdel,Mark,Republican,45
Room 1289 House Office Building,5173737317,scottvansingel@house.mi.gov,VanSingel,Scott,Republican,100
Room 1195 House Office Building,5173733436,GregVanWoerkom@house.mi.gov,VanWoerkom,Greg,Republican,91
Room 1198 House Office Building,5173730837,RodneyWakeman@house.mi.gov,Wakeman,Rodney,Republican,94
Room 791 House Office Building,5173730478,reginaweiss@house.mi.gov,Weiss,Regina,Democrat,27
Room 1098 House Office Building,5173731403,PaulineWendzel@house.mi.gov,Wendzel,Pauline,Republican,79
Room 164 Capitol Building,5173738962,jasonwentworth@house.mi.gov,Wentworth,Jason,Republican,97
Room 372 Capitol Building,5173730836,marywhiteford@house.mi.gov,Whiteford,Mary,Republican,80
Room 688 House Office Building,5173736990,KarenWhitsett@house.mi.gov,Whitsett,Karen,Democrat,9
Room 1090 House Office Building,5173730853,AngelaWitwer@house.mi.gov,Witwer,Angela,Democrat,71
Room 585 House Office Building,5173730154,tenishayancey@house.mi.gov,Yancey,Tenisha,Democrat,1
Room 797 House Office Building,5173730820,jeffyaroch@house.mi.gov,Yaroch,Jeff,Republican,33
Room 687 House Office Building,5173733815,stephanieyoung@house.mi.gov,Young,Stephanie,Democrat,8
